Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,axes_0,axes_1,axes_2,axes_3,axes_4,axes_5,axes_6,axes_7,buttons_0,buttons_1,buttons_2,buttons_3,buttons_4,buttons_5,buttons_6,buttons_7,buttons_8,buttons_9,buttons_10,buttons_11,buttons_12,buttons_13
1638480386.873312,30106,1638480386,872944925,joystick,0.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.0,0,0,0,0,1,0,1,1,0,0,0,0,0,0
1638480386.8996434,30107,1638480386,898643485,joystick,0.0,0.0,1.0,0.0,-1.0,1.0,0.0,0.0,0,0,0,0,1,0,1,1,0,0,0,0,0,0
1638480386.9327915,30108,1638480386,931907928,joystick,0.0,0.0,1.0,0.0,-1.0,1.0,0.0,0.0,0,0,0,0,1,0,1,1,0,0,0,0,0,0
1638480386.9657164,30109,1638480386,965275929,joystick,0.0,0.0,1.0,0.0,-1.0,1.0,0.0,0.0,0,0,0,0,1,0,1,1,0,0,0,0,0,0
1638480386.999089,30110,1638480386,998569206,joystick,0.0,0.0,1.0,0.0,-1.0,1.0,0.0,0.0,0,0,0,0,1,0,1,1,0,0,0,0,0,0
1638480387.0333965,30111,1638480387,31909108,joystick,0.0,0.0,1.0,0.0,-1.0,1.0,0.0,0.0,0,0,0,0,1,0,1,1,0,0,0,0,0,0
1638480387.0658152,30112,1638480387,65301812,joystick,0.0,0.0,1.0,0.0,-1.0,1.0,0.0,0.0,0,0,0,0,1,0,1,1,0,0,0,0,0,0
1638480387.0991611,30113,1638480387,98556750,joystick,0.0,0.0,1.0,0.0,-1.0,1.0,0.0,0.0,0,0,0,0,1,0,1,1,0,0,0,0,0,0
1638480387.133653,30114,1638480387,131931981,joystick,0.0,0.0,1.0,0.0,-1.0,1.0,0.0,0.0,0,0,0,0,1,0,1,1,0,0,0,0,0,0
1638480387.1658163,30115,1638480387,165279404,joystick,0.0,0.0,1.0,0.0,-1.0,1.0,0.0,0.0,0,0,0,0,1,0,1,1,0,0,0,0,0,0
1638480387.1993454,30116,1638480387,198574759,joystick,0.0,0.0,1.0,0.0,-1.0,1.0,0.0,0.0,0,0,0,0,1,0,1,1,0,0,0,0,0,0
1638480387.2336802,30117,1638480387,231935878,joystick,0.0,0.0,1.0,0.0,-1.0,1.0,0.0,0.0,0,0,0,0,1,0,1,1,0,0,0,0,0,0
1638480387.2659864,30118,1638480387,265287268,joystick,0.0,0.0,1.0,0.0,-1.0,1.0,0.0,0.0,0,0,0,0,1,0,1,1,0,0,0,0,0,0
1638480387.2993972,30119,1638480387,298597569,joystick,0.0,0.0,1.0,0.0,-1.0,1.0,0.0,0.0,0,0,0,0,1,0,1,1,0,0,0,0,0,0
1638480387.3326902,30120,1638480387,331928862,joystick,0.0,0.0,1.0,0.0,-1.0,1.0,0.0,0.0,0,0,0,0,1,0,1,1,0,0,0,0,0,0
1638480387.3658397,30121,1638480387,365276124,joystick,0.0,0.0,1.0,0.0,-1.0,1.0,0.0,0.0,0,0,0,0,1,0,1,1,0,0,0,0,0,0
1638480387.3992267,30122,1638480387,398581753,joystick,0.0,0.0,1.0,0.0,-1.0,1.0,0.0,0.0,0,0,0,0,1,0,1,1,0,0,0,0,0,0
1638480387.432973,30123,1638480387,431905782,joystick,0.0,0.0,1.0,0.0,-1.0,1.0,0.0,0.0,0,0,0,0,1,0,1,1,0,0,0,0,0,0
1638480387.4656332,30124,1638480387,465230515,joystick,0.0,0.0,1.0,0.0,-1.0,1.0,0.0,0.0,0,0,0,0,1,0,1,1,0,0,0,0,0,0
1638480387.4992497,30125,1638480387,498584273,joystick,0.0,0.0,1.0,0.0,-1.0,1.0,0.0,0.0,0,0,0,0,1,0,1,1,0,0,0,0,0,0
1638480387.532853,30126,1638480387,531964849,joystick,0.0,0.0,1.0,0.0,-1.0,1.0,0.0,0.0,0,0,0,0,1,0,1,1,0,0,0,0,0,0
1638480387.5834908,30127,1638480387,582916569,joystick,0.0,0.0,1.0,0.0,-1.0,1.0,0.0,0.0,0,0,0,0,1,0,1,1,0,0,0,0,0,0
1638480387.5991955,30128,1638480387,598554601,joystick,0.0,0.0,1.0,0.0,-1.0,1.0,0.0,0.0,0,0,0,0,1,0,1,1,0,0,0,0,0,0
1638480387.63342,30129,1638480387,631962153,joystick,0.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.0,0,0,0,0,1,0,1,1,0,0,0,0,0,0
1638480387.6658304,30130,1638480387,665398636,joystick,0.0,0.0,-1.0,0.0,-1.0,-1.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1638480387.6997232,30131,1638480387,699147740,joystick,0.0,0.0,-1.0,0.0,-0.9588000178337097,-1.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1638480387.7359595,30132,1638480387,735412897,joystick,0.0,0.0,-1.0,0.0,-0.7113864421844482,-1.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1638480387.7658446,30133,1638480387,765452167,joystick,0.0,0.0,-1.0,0.0,-0.5464339256286621,-1.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1638480387.8034067,30134,1638480387,802999910,joystick,0.0,0.0,-1.0,0.0,-0.2783593237400055,-1.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1638480387.833165,30135,1638480387,832006364,joystick,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1638480387.8657188,30136,1638480387,865218964,joystick,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1638480387.8991714,30137,1638480387,898564467,joystick,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1638480387.9324584,30138,1638480387,931982228,joystick,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1638480387.965719,30139,1638480387,965245294,joystick,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1638480388.0008717,30140,1638480388,541478,joystick,-0.14435255527496338,0.04123050719499588,-1.0,0.0,0.0,-1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1638480388.0334744,30141,1638480388,32938839,joystick,-0.9072542786598206,0.7629017233848572,-1.0,0.0,0.0,-1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1638480388.0708973,30142,1638480388,70350255,joystick,-0.7217017412185669,0.9175390005111694,-1.0,-0.05157628282904625,0.43299660086631775,-1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1638480388.1031764,30143,1638480388,101847095,joystick,-0.5051729083061218,1.0,-1.0,-0.25775933265686035,1.0,-1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1638480388.1329377,30144,1638480388,131933598,joystick,-0.556718647480011,1.0,-1.0,-0.25775933265686035,1.0,-1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1638480388.165882,30145,1638480388,165451395,joystick,-0.5979796648025513,0.9690847396850586,-1.0,-0.2371288239955902,1.0,-1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1638480388.207164,30146,1638480388,206634760,joystick,-0.5979796648025513,0.9690847396850586,-1.0,-0.2371288239955902,1.0,-1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1638480388.2482963,30147,1638480388,247885008,joystick,-0.5979796648025513,0.9690847396850586,-1.0,-0.1752678006887436,1.0,-1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1638480388.273222,30148,1638480388,271596690,joystick,-0.5979796648025513,0.9690847396850586,-1.0,-0.16498306393623352,1.0,-1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1638480388.3056703,30149,1638480388,304221998,joystick,-0.5979796648025513,0.9690847396850586,-1.0,-0.16498306393623352,1.0,-1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
