pos_x,pos_y,angle_x,angle_y,vel_x,vel_y,ω,twist_linear,twist_angular
1.5233365,-2.0675783,0.9170475,0.39877233,1.338812,0.40657607,-0.45645604,1.546495,-0.7440444
1.661243,-2.0256984,0.9347786,0.35523054,1.3466525,0.3368904,-0.42927396,1.546495,-0.73352045
1.7999572,-1.9909965,0.9495652,0.31356198,1.3629903,0.2617064,-0.47163323,1.546495,0.011796732
1.9403541,-1.964039,0.9636725,0.26707911,1.3612752,0.24762051,-0.13039081,1.546495,0.61020076
2.0805745,-1.9385324,0.96717453,0.25411272,1.2906647,0.40058562,0.31797895,1.546495,1.2187809
2.2135215,-1.8972694,0.9583322,0.28564894,1.2415286,0.5697415,0.7672923,1.546495,1.2187809
2.3414073,-1.8385823,0.9327805,0.36041868,1.1663275,0.71886253,0.7921032,1.546495,1.2187809
2.4615467,-1.7645347,0.9003059,0.43524405,1.1042619,0.81481934,0.83529997,1.5510455,1.2223672
2.575293,-1.6806029,0.85957605,0.5110041,1.0366174,0.9075923,0.7780805,1.546495,1.2187809
2.6820714,-1.5871148,0.81590414,0.5781823,0.94712615,0.98849714,0.81579816,1.546495,1.2187809
2.7796316,-1.4852931,0.7644915,0.64462006,0.8647116,1.0785912,0.789571,1.546495,1.2187809
2.8687027,-1.374191,0.70960057,0.7046036,0.7851863,1.119322,0.79185885,1.546495,1.2187809
2.949582,-1.2588935,0.6498274,0.76007026,0.67053115,1.2027895,0.8106709,1.5654653,1.2337314
3.0186512,-1.1349982,0.58416766,0.8116223,0.5752318,1.2499555,0.81683624,1.546495,1.2187809
3.077904,-1.0062445,0.51389503,0.8578496,0.47668824,1.2845706,0.8067785,1.546495,1.2187809
3.127006,-0.8739252,0.44091246,0.89754486,0.36175495,1.3156155,0.81408805,1.546495,1.2187809
3.1642692,-0.7384081,0.36418518,0.93131804,0.23289563,1.3124276,0.7889196,1.546495,1.2187809
3.188259,-0.6032194,0.2873848,0.95780975,0.13565844,1.3532134,0.7897326,1.5542715,0.06238131
3.2022326,-0.46382943,0.20860575,0.9779994,0.10489883,1.3889451,0.40657422,1.546495,-0.58010614
3.213038,-0.32075888,0.16747643,0.9858761,0.25930834,1.3640587,-0.29917017,1.546495,-0.8706832
3.2397485,-0.18025178,0.19777288,0.98024535,0.42652136,1.3138013,-0.51385885,1.546495,-1.010381
3.2836828,-0.044921543,0.24935752,0.96841145,0.54167515,1.266808,-0.6188039,1.546495,-1.0498289
3.339479,0.08556808,0.31053516,0.95055646,0.6465867,1.2148013,-0.6340865,1.546495,-0.9470827
3.4060817,0.21070066,0.37191477,0.9282618,0.7212054,1.1673905,-0.6476658,1.546495,0.06365443
3.4803708,0.3309496,0.43297055,0.90140575,0.7868664,1.183011,-0.112840116,1.5670644,1.0505465
3.561423,0.45280758,0.44341928,0.89631426,0.5826488,1.2498575,0.33730057,1.5670644,1.2349916
3.62144,0.5815512,0.41201398,0.91117156,0.3737323,1.3310984,0.8275525,1.5670644,1.2349916
3.6599367,0.71866316,0.33294094,0.94294286,0.13169959,1.350052,0.8050776,1.5670644,1.2349916
3.6735027,0.85772747,0.25369,0.9672822,0.10219099,1.388409,0.8145789,1.5670644,1.2349916
3.684029,1.0007428,0.17173024,0.9851366,0.05842989,1.4184891,0.8301322,1.5670644,1.2349916
3.6900477,1.1468565,0.0869669,0.9962,-0.22530417,1.3646997,0.783257,1.5670644,1.2349916
3.6668398,1.2874297,0.0063971686,0.99997926,-0.25506097,1.3798226,0.8314266,1.5670644,1.2349916
3.6405668,1.4295605,-0.07916185,0.9968559,-0.26895785,1.3724718,0.7853225,1.5670644,1.2349916
3.6128623,1.5709342,-0.15945394,0.98719805,-0.48793358,1.3132278,0.83159,1.5670644,1.2349916
3.562602,1.7062054,-0.24332976,0.96994114,-0.5937273,1.2872151,0.8078456,1.6745712,1.3197168
3.5014443,1.8387971,-0.32310486,0.9463542,-0.7254762,1.2839364,0.90537804,1.7797362,1.4025965
3.4267154,1.971051,-0.40982658,0.91214544,-0.870304,1.2864476,0.9210232,1.8459375,1.4547693
3.3370683,2.1035635,-0.49439254,0.8692247,-1.1031922,1.2078946,0.89725524,1.8557695,1.4625179
3.2234323,2.227985,-0.57251096,0.8198955,-1.1126047,1.1970866,0.9959598,1.8557695,1.4625179
3.1088266,2.3512926,-0.65346175,0.7569476,-1.3014317,1.0503556,0.95928955,1.8557695,1.4625179
2.9747705,2.4594862,-0.7249502,0.68879086,-1.4201962,0.92547524,0.96616477,1.8557695,1.4625179
2.8284807,2.5548162,-0.78980494,0.61335796,-1.5097796,0.7815799,0.96928465,1.8557695,1.4625179
2.6729636,2.6353242,-0.84699565,0.5315695,-1.6515435,0.58196187,0.94813395,1.8557695,1.4625179
2.5028436,2.69527,-0.8947954,0.44644836,-1.6395959,0.4671813,0.97429585,1.8557695,1.4625179
2.3339543,2.743393,-0.93503094,0.35455492,-1.6530046,0.3068894,1.0794355,1.8556492,1.4624231
2.163684,2.7750046,-0.9686004,0.24861492,-1.6598431,0.13545689,0.94168633,1.8557695,1.4625179
1.9927092,2.7889576,-0.9881161,0.15363795,-1.6887062,-0.048406005,0.9284864,1.7833608,1.4054531
1.8187612,2.7839713,-0.9982757,0.058576364,-1.5403371,-0.19848602,0.8008215,0.9379104,0.73916
1.6600963,2.763526,-0.9997131,-0.023877267,-1.0427338,-0.22671518,0.37328458,0.25874835,0.20391761
1.5526878,2.7401729,-0.9980573,-0.06228996,-0.28519845,-0.14807737,0.1802848,-0.0,-0.0
1.5233104,2.7249198,-0.99672925,-0.08081266,0.07612063,-0.028621234,0.07127103,0.12428982,0.09795186
1.5311514,2.7219718,-0.9961092,-0.08812781,0.09515939,0.0111515215,0.045643013,0.5944368,0.46847114
1.5409534,2.7231205,-0.9956837,-0.09281004,-0.11363009,-0.044893224,0.15724875,0.89540845,0.7056646
1.5292487,2.718496,-0.9940496,-0.10892488,-0.3790433,-0.13908142,0.30419546,0.98035574,0.77261084
